customer_id,first_name,email,signup_date,region,acquisition_channel
CUST-00117,User117,user117@example.com,2025-04-01,Asia Pacific,Paid Search
CUST-00118,User118,user118@example.com,2025-10-10,Asia Pacific,Organic Search
CUST-00119,User119,user119@example.com,2025-11-15,North America,Organic Search
CUST-00120,User120,user120@example.com,2024-10-03,North America,Paid Search
CUST-00121,User121,user121@example.com,2025-06-23,Asia Pacific,Email Marketing
CUST-00122,User122,user122@example.com,2025-10-13,Europe,Referral
CUST-00123,User123,user123@example.com,2024-12-25,Europe,Paid Search
CUST-00124,User124,user124@example.com,2025-02-06,North America,Social Media
CUST-00125,User125,user125@example.com,2025-03-28,Europe,Paid Search
CUST-00126,User126,user126@example.com,2024-07-02,Europe,Social Media
CUST-00127,User127,user127@example.com,2024-03-06,North America,Paid Search
CUST-00128,User128,user128@example.com,2025-10-12,North America,Paid Search
CUST-00129,User129,user129@example.com,2025-04-04,Europe,Referral
CUST-00130,User130,user130@example.com,2024-09-02,North America,Organic Search
CUST-00131,User131,user131@example.com,2025-02-10,Europe,Email Marketing
CUST-00132,User132,user132@example.com,2024-10-07,Latin America,Organic Search
CUST-00133,User133,user133@example.com,2024-06-15,Europe,Paid Search
CUST-00134,User134,user134@example.com,2025-01-27,North America,Paid Search
CUST-00135,User135,user135@example.com,2024-12-25,Europe,Paid Search
CUST-00136,User136,user136@example.com,2024-02-11,Latin America,Organic Search
CUST-00137,User137,user137@example.com,2024-04-18,Latin America,Social Media
CUST-00138,User138,user138@example.com,2025-01-24,North America,Paid Search
CUST-00139,User139,user139@example.com,2025-03-12,Europe,Paid Search
CUST-00140,User140,user140@example.com,2025-01-07,Latin America,Organic Search
CUST-00141,User141,user141@example.com,2024-05-26,Europe,Paid Search
CUST-00142,User142,user142@example.com,2024-11-06,North America,Email Marketing
CUST-00143,User143,user143@example.com,2024-03-29,North America,Referral
CUST-00144,User144,user144@example.com,2024-02-29,North America,Referral
CUST-00145,User145,user145@example.com,2025-02-13,Europe,Paid Search
CUST-00146,User146,user146@example.com,2024-09-05,North America,Paid Search
CUST-00147,User147,user147@example.com,2024-05-23,Europe,Referral
CUST-00148,User148,user148@example.com,2025-11-03,Asia Pacific,Social Media
CUST-00149,User149,user149@example.com,2024-09-30,Europe,Social Media
CUST-00150,User150,user150@example.com,2025-03-23,North America,Referral
CUST-00151,User151,user151@example.com,2024-05-22,North America,Social Media
CUST-00152,User152,user152@example.com,2024-10-04,Latin America,Organic Search
CUST-00153,User153,user153@example.com,2024-10-30,Europe,Paid Search
CUST-00154,User154,user154@example.com,2025-02-21,Latin America,Email Marketing
CUST-00155,User155,user155@example.com,2024-06-08,North America,Paid Search
CUST-00156,User156,user156@example.com,2025-05-27,Europe,Paid Search
CUST-00157,User157,user157@example.com,2025-05-19,North America,Organic Search
CUST-00158,User158,user158@example.com,2025-09-05,Latin America,Organic Search
CUST-00159,User159,user159@example.com,2025-10-21,North America,Email Marketing
CUST-00160,User160,user160@example.com,2025-02-22,Asia Pacific,Social Media
CUST-00161,User161,user161@example.com,2025-01-27,Europe,Paid Search
CUST-00162,User162,user162@example.com,2025-09-09,North America,Social Media
CUST-00163,User163,user163@example.com,2024-11-15,North America,Organic Search
CUST-00164,User164,user164@example.com,2024-01-15,Asia Pacific,Paid Search
CUST-00165,User165,user165@example.com,2024-04-30,Europe,Organic Search
CUST-00166,User166,user166@example.com,2024-07-30,North America,Paid Search
CUST-00167,User167,user167@example.com,2024-05-14,North America,Paid Search
CUST-00168,User168,user168@example.com,2024-07-19,Europe,Referral
CUST-00169,User169,user169@example.com,2024-07-27,Europe,Organic Search
CUST-00170,User170,user170@example.com,2025-05-29,Europe,Organic Search
CUST-00171,User171,user171@example.com,2024-07-28,Europe,Paid Search
CUST-00172,User172,user172@example.com,2024-07-16,Europe,Organic Search
CUST-00173,User173,user173@example.com,2024-09-14,Europe,Organic Search
CUST-00174,User174,user174@example.com,2025-10-28,Asia Pacific,Paid Search
CUST-00175,User175,user175@example.com,2024-10-26,Asia Pacific,Paid Search
CUST-00176,User176,user176@example.com,2024-11-22,North America,Referral
CUST-00177,User177,user177@example.com,2024-05-19,North America,Email Marketing
CUST-00178,User178,user178@example.com,2024-01-20,Latin America,Organic Search
CUST-00179,User179,user179@example.com,2024-06-23,Asia Pacific,Organic Search
CUST-00180,User180,user180@example.com,2024-06-26,North America,Social Media
CUST-00181,User181,user181@example.com,2024-12-03,Asia Pacific,Paid Search
CUST-00182,User182,user182@example.com,2025-01-05,North America,Paid Search
CUST-00183,User183,user183@example.com,2024-06-26,North America,Email Marketing
CUST-00184,User184,user184@example.com,2024-01-21,North America,Organic Search
CUST-00185,User185,user185@example.com,2024-08-28,Europe,Email Marketing
CUST-00186,User186,user186@example.com,2024-03-06,Europe,Referral
CUST-00187,User187,user187@example.com,2024-03-27,Europe,Paid Search
CUST-00188,User188,user188@example.com,2025-04-29,North America,Social Media
CUST-00189,User189,user189@example.com,2025-02-27,Asia Pacific,Social Media
CUST-00190,User190,user190@example.com,2025-09-23,Asia Pacific,Social Media
CUST-00191,User191,user191@example.com,2024-06-09,North America,Organic Search
CUST-00192,User192,user192@example.com,2025-04-22,North America,Organic Search
CUST-00193,User193,user193@example.com,2024-11-21,North America,Organic Search
CUST-00194,User194,user194@example.com,2025-06-07,North America,Organic Search
CUST-00195,User195,user195@example.com,2024-06-04,Europe,Email Marketing
CUST-00196,User196,user196@example.com,2025-03-12,North America,Email Marketing
CUST-00197,User197,user197@example.com,2025-09-28,North America,Referral
CUST-00198,User198,user198@example.com,2024-05-17,North America,Paid Search
CUST-00199,User199,user199@example.com,2025-02-16,North America,Social Media
CUST-00200,User200,user200@example.com,2025-05-28,Europe,Email Marketing
CUST-00201,User201,user201@example.com,2024-11-05,Europe,Organic Search
CUST-00202,User202,user202@example.com,2024-06-23,North America,Referral
CUST-00203,User203,user203@example.com,2024-06-08,Europe,Paid Search
CUST-00204,User204,user204@example.com,2024-07-10,Europe,Social Media
CUST-00205,User205,user205@example.com,2025-03-31,Latin America,Paid Search
CUST-00206,User206,user206@example.com,2025-01-10,Latin America,Paid Search
CUST-00207,User207,user207@example.com,2024-07-26,North America,Referral
CUST-00208,User208,user208@example.com,2024-07-17,Europe,Paid Search
CUST-00209,User209,user209@example.com,2025-08-28,Europe,Organic Search
CUST-00210,User210,user210@example.com,2024-07-15,North America,Social Media
CUST-00211,User211,user211@example.com,2025-06-23,North America,Organic Search
CUST-00212,User212,user212@example.com,2025-10-02,North America,Organic Search
CUST-00213,User213,user213@example.com,2025-04-09,North America,Social Media
CUST-00214,User214,user214@example.com,2024-11-04,North America,Paid Search
CUST-00215,User215,user215@example.com,2024-01-24,Europe,Organic Search
CUST-00216,User216,user216@example.com,2024-12-15,Latin America,Paid Search
CUST-00217,User217,user217@example.com,2025-05-04,Asia Pacific,Paid Search
CUST-00218,User218,user218@example.com,2024-05-17,Latin America,Social Media
CUST-00219,User219,user219@example.com,2024-07-22,North America,Organic Search
CUST-00220,User220,user220@example.com,2025-02-15,North America,Email Marketing
CUST-00221,User221,user221@example.com,2024-08-19,North America,Paid Search
CUST-00222,User222,user222@example.com,2025-08-16,North America,Referral
CUST-00223,User223,user223@example.com,2025-01-20,North America,Paid Search
CUST-00224,User224,user224@example.com,2025-04-04,Latin America,Referral
CUST-00225,User225,user225@example.com,2025-10-09,North America,Referral
CUST-00226,User226,user226@example.com,2025-02-25,Europe,Social Media
CUST-00227,User227,user227@example.com,2025-11-19,Asia Pacific,Paid Search
CUST-00228,User228,user228@example.com,2024-05-18,Asia Pacific,Paid Search
CUST-00229,User229,user229@example.com,2025-01-10,North America,Organic Search
CUST-00230,User230,user230@example.com,2024-11-20,North America,Social Media
CUST-00231,User231,user231@example.com,2025-05-04,North America,Social Media
CUST-00232,User232,user232@example.com,2024-09-05,Europe,Paid Search
CUST-00233,User233,user233@example.com,2025-06-27,Europe,Paid Search
CUST-00234,User234,user234@example.com,2024-03-18,Asia Pacific,Social Media
CUST-00235,User235,user235@example.com,2025-01-20,North America,Email Marketing
CUST-00236,User236,user236@example.com,2024-08-29,North America,Social Media
CUST-00237,User237,user237@example.com,2025-04-29,Europe,Social Media
CUST-00238,User238,user238@example.com,2025-07-24,Latin America,Paid Search
CUST-00239,User239,user239@example.com,2025-07-01,North America,Paid Search
CUST-00240,User240,user240@example.com,2024-02-16,Asia Pacific,Email Marketing
CUST-00241,User241,user241@example.com,2024-04-25,Asia Pacific,Social Media
CUST-00242,User242,user242@example.com,2024-12-23,North America,Paid Search
CUST-00243,User243,user243@example.com,2024-06-01,Europe,Organic Search
CUST-00244,User244,user244@example.com,2024-01-28,Asia Pacific,Social Media
CUST-00245,User245,user245@example.com,2025-05-15,Europe,Email Marketing
CUST-00246,User246,user246@example.com,2025-07-01,Europe,Social Media
CUST-00247,User247,user247@example.com,2025-07-16,Asia Pacific,Paid Search
CUST-00248,User248,user248@example.com,2024-06-28,Asia Pacific,Email Marketing
CUST-00249,User249,user249@example.com,2025-08-03,North America,Organic Search
CUST-00250,User250,user250@example.com,2025-07-09,Europe,Social Media
CUST-00251,User251,user251@example.com,2024-10-15,Europe,Referral
CUST-00252,User252,user252@example.com,2024-06-11,North America,Referral
CUST-00253,User253,user253@example.com,2024-06-10,North America,Organic Search
CUST-00254,User254,user254@example.com,2024-12-23,Europe,Referral
CUST-00255,User255,user255@example.com,2025-04-02,Europe,Paid Search
CUST-00256,User256,user256@example.com,2025-06-25,North America,Email Marketing
CUST-00257,User257,user257@example.com,2024-12-22,Europe,Paid Search
CUST-00258,User258,user258@example.com,2024-08-22,North America,Social Media
CUST-00259,User259,user259@example.com,2024-09-27,North America,Paid Search
CUST-00260,User260,user260@example.com,2025-02-04,Europe,Organic Search
CUST-00261,User261,user261@example.com,2025-03-04,Asia Pacific,Paid Search
CUST-00262,User262,user262@example.com,2024-04-20,Latin America,Paid Search
CUST-00263,User263,user263@example.com,2024-08-09,Europe,Organic Search
CUST-00264,User264,user264@example.com,2024-06-28,North America,Paid Search
CUST-00265,User265,user265@example.com,2025-03-03,Europe,Paid Search
CUST-00266,User266,user266@example.com,2024-11-26,North America,Email Marketing
CUST-00267,User267,user267@example.com,2025-09-27,Europe,Paid Search
CUST-00268,User268,user268@example.com,2024-07-28,North America,Paid Search
CUST-00269,User269,user269@example.com,2024-10-06,Asia Pacific,Referral
CUST-00270,User270,user270@example.com,2025-05-01,North America,Paid Search
CUST-00271,User271,user271@example.com,2024-11-25,Europe,Referral
CUST-00272,User272,user272@example.com,2024-01-30,Europe,Referral
CUST-00273,User273,user273@example.com,2024-08-01,Asia Pacific,Paid Search
CUST-00274,User274,user274@example.com,2024-07-20,North America,Paid Search
CUST-00275,User275,user275@example.com,2024-04-17,North America,Referral
CUST-00276,User276,user276@example.com,2025-01-26,Europe,Social Media
CUST-00277,User277,user277@example.com,2024-06-14,Europe,Organic Search
CUST-00278,User278,user278@example.com,2024-04-24,Europe,Social Media
CUST-00279,User279,user279@example.com,2025-05-25,Europe,Referral
CUST-00280,User280,user280@example.com,2025-06-11,North America,Paid Search
CUST-00281,User281,user281@example.com,2025-07-17,North America,Referral
CUST-00282,User282,user282@example.com,2024-10-21,North America,Social Media
CUST-00283,User283,user283@example.com,2025-01-30,North America,Social Media
CUST-00284,User284,user284@example.com,2024-01-25,North America,Social Media
CUST-00285,User285,user285@example.com,2024-10-24,North America,Email Marketing
CUST-00286,User286,user286@example.com,2024-05-06,Asia Pacific,Organic Search
CUST-00287,User287,user287@example.com,2024-08-12,North America,Referral
CUST-00288,User288,user288@example.com,2024-10-22,Latin America,Social Media
CUST-00289,User289,user289@example.com,2024-05-14,Europe,Organic Search
CUST-00290,User290,user290@example.com,2024-02-08,North America,Social Media
CUST-00291,User291,user291@example.com,2024-09-03,North America,Paid Search
CUST-00292,User292,user292@example.com,2025-01-31,Europe,Paid Search
CUST-00293,User293,user293@example.com,2024-05-05,Europe,Referral
CUST-00294,User294,user294@example.com,2024-05-23,North America,Social Media
CUST-00295,User295,user295@example.com,2024-06-24,Europe,Social Media
CUST-00296,User296,user296@example.com,2024-05-17,Europe,Email Marketing
CUST-00297,User297,user297@example.com,2024-05-21,North America,Organic Search
CUST-00298,User298,user298@example.com,2025-10-03,North America,Paid Search
CUST-00299,User299,user299@example.com,2025-01-11,Europe,Paid Search
CUST-00300,User300,user300@example.com,2024-07-12,North America,Organic Search
CUST-00301,User301,user301@example.com,2025-02-18,North America,Email Marketing
CUST-00302,User302,user302@example.com,2024-02-04,Asia Pacific,Paid Search
CUST-00303,User303,user303@example.com,2024-03-28,North America,Organic Search
CUST-00304,User304,user304@example.com,2024-09-14,North America,Organic Search
CUST-00305,User305,user305@example.com,2025-02-11,North America,Social Media
CUST-00306,User306,user306@example.com,2025-03-31,Asia Pacific,Paid Search
CUST-00307,User307,user307@example.com,2025-02-17,Europe,Social Media
CUST-00308,User308,user308@example.com,2025-09-18,Europe,Referral
CUST-00309,User309,user309@example.com,2025-08-21,Asia Pacific,Organic Search
CUST-00310,User310,user310@example.com,2025-11-07,North America,Social Media
CUST-00311,User311,user311@example.com,2024-12-29,North America,Referral
CUST-00312,User312,user312@example.com,2024-08-16,North America,Paid Search
CUST-00313,User313,user313@example.com,2024-06-19,North America,Email Marketing
CUST-00314,User314,user314@example.com,2025-06-14,Europe,Email Marketing
CUST-00315,User315,user315@example.com,2024-04-29,North America,Social Media
CUST-00316,User316,user316@example.com,2024-09-12,Europe,Referral
CUST-00317,User317,user317@example.com,2024-12-28,North America,Organic Search
CUST-00318,User318,user318@example.com,2024-07-16,North America,Paid Search
CUST-00319,User319,user319@example.com,2025-01-10,Latin America,Organic Search
CUST-00320,User320,user320@example.com,2024-09-04,Europe,Organic Search
CUST-00321,User321,user321@example.com,2024-02-28,North America,Organic Search
CUST-00322,User322,user322@example.com,2025-06-11,Europe,Organic Search
CUST-00323,User323,user323@example.com,2025-02-24,North America,Referral
CUST-00324,User324,user324@example.com,2025-05-07,Asia Pacific,Social Media
CUST-00325,User325,user325@example.com,2024-08-20,Europe,Organic Search
CUST-00326,User326,user326@example.com,2025-06-10,Latin America,Paid Search
CUST-00327,User327,user327@example.com,2024-06-01,North America,Referral
CUST-00328,User328,user328@example.com,2024-05-20,Europe,Paid Search
CUST-00329,User329,user329@example.com,2025-01-01,Latin America,Paid Search
CUST-00330,User330,user330@example.com,2025-06-02,Europe,Referral
CUST-00331,User331,user331@example.com,2024-11-27,Asia Pacific,Referral
CUST-00332,User332,user332@example.com,2025-07-02,North America,Paid Search
CUST-00333,User333,user333@example.com,2025-09-24,Europe,Referral
CUST-00334,User334,user334@example.com,2025-01-03,North America,Paid Search
CUST-00335,User335,user335@example.com,2024-04-21,North America,Paid Search
CUST-00336,User336,user336@example.com,2025-07-28,North America,Referral
CUST-00337,User337,user337@example.com,2024-09-25,Europe,Paid Search
CUST-00338,User338,user338@example.com,2025-03-30,North America,Social Media
CUST-00339,User339,user339@example.com,2025-08-10,North America,Social Media
CUST-00340,User340,user340@example.com,2024-11-28,Europe,Paid Search
CUST-00341,User341,user341@example.com,2024-07-27,North America,Organic Search
CUST-00342,User342,user342@example.com,2024-03-24,North America,Email Marketing
CUST-00343,User343,user343@example.com,2024-06-11,North America,Social Media
CUST-00344,User344,user344@example.com,2024-05-30,Latin America,Social Media
CUST-00345,User345,user345@example.com,2024-09-02,Europe,Paid Search
CUST-00346,User346,user346@example.com,2024-09-06,North America,Organic Search
CUST-00347,User347,user347@example.com,2024-04-13,North America,Social Media
CUST-00348,User348,user348@example.com,2024-08-01,North America,Paid Search
CUST-00349,User349,user349@example.com,2024-03-19,Europe,Paid Search
CUST-00350,User350,user350@example.com,2025-01-28,Europe,Paid Search
CUST-00351,User351,user351@example.com,2025-03-14,Europe,Social Media
CUST-00352,User352,user352@example.com,2025-02-04,North America,Social Media
CUST-00353,User353,user353@example.com,2025-01-11,Asia Pacific,Referral
CUST-00354,User354,user354@example.com,2025-07-14,North America,Paid Search
CUST-00355,User355,user355@example.com,2024-11-23,Asia Pacific,Referral
CUST-00356,User356,user356@example.com,2024-01-24,North America,Paid Search
CUST-00357,User357,user357@example.com,2024-04-30,Latin America,Referral
CUST-00358,User358,user358@example.com,2025-01-21,North America,Paid Search
CUST-00359,User359,user359@example.com,2025-02-21,Asia Pacific,Social Media
CUST-00360,User360,user360@example.com,2024-03-03,North America,Organic Search
CUST-00361,User361,user361@example.com,2024-08-19,Europe,Organic Search
CUST-00362,User362,user362@example.com,2024-08-25,Europe,Paid Search
CUST-00363,User363,user363@example.com,2024-05-17,North America,Paid Search
CUST-00364,User364,user364@example.com,2024-11-23,North America,Email Marketing
CUST-00365,User365,user365@example.com,2024-02-09,North America,Social Media
CUST-00366,User366,user366@example.com,2025-05-01,Latin America,Organic Search
CUST-00367,User367,user367@example.com,2024-05-25,North America,Social Media
CUST-00368,User368,user368@example.com,2025-07-02,North America,Paid Search
CUST-00369,User369,user369@example.com,2024-03-05,Europe,Paid Search
CUST-00370,User370,user370@example.com,2025-01-17,North America,Organic Search
CUST-00371,User371,user371@example.com,2024-03-31,Asia Pacific,Email Marketing
CUST-00372,User372,user372@example.com,2025-07-13,North America,Social Media
CUST-00373,User373,user373@example.com,2025-04-17,North America,Paid Search
CUST-00374,User374,user374@example.com,2024-01-18,Europe,Paid Search
CUST-00375,User375,user375@example.com,2024-06-19,Europe,Paid Search
CUST-00376,User376,user376@example.com,2025-01-16,North America,Paid Search
CUST-00377,User377,user377@example.com,2024-07-13,Europe,Paid Search
CUST-00378,User378,user378@example.com,2024-07-04,North America,Social Media
CUST-00379,User379,user379@example.com,2024-03-26,North America,Paid Search
CUST-00380,User380,user380@example.com,2024-06-24,North America,Paid Search
CUST-00381,User381,user381@example.com,2025-05-18,Asia Pacific,Referral
CUST-00382,User382,user382@example.com,2024-07-27,North America,Organic Search
CUST-00383,User383,user383@example.com,2024-02-02,North America,Paid Search
CUST-00384,User384,user384@example.com,2025-01-16,Europe,Organic Search
CUST-00385,User385,user385@example.com,2024-12-23,North America,Email Marketing
CUST-00386,User386,user386@example.com,2025-05-19,North America,Organic Search
CUST-00387,User387,user387@example.com,2024-12-18,Europe,Email Marketing
CUST-00388,User388,user388@example.com,2024-12-31,North America,Paid Search
CUST-00389,User389,user389@example.com,2025-05-08,Asia Pacific,Organic Search
CUST-00390,User390,user390@example.com,2024-04-04,North America,Referral
CUST-00391,User391,user391@example.com,2025-01-26,Asia Pacific,Social Media
CUST-00392,User392,user392@example.com,2024-03-20,Asia Pacific,Paid Search
CUST-00393,User393,user393@example.com,2025-12-01,North America,Social Media
CUST-00394,User394,user394@example.com,2025-04-29,North America,Organic Search
CUST-00395,User395,user395@example.com,2024-10-31,Europe,Social Media
CUST-00396,User396,user396@example.com,2024-03-31,North America,Paid Search
CUST-00397,User397,user397@example.com,2024-08-03,Latin America,Paid Search
CUST-00398,User398,user398@example.com,2024-09-19,North America,Paid Search
CUST-00399,User399,user399@example.com,2025-09-24,Latin America,Social Media
CUST-00400,User400,user400@example.com,2024-05-21,Europe,Social Media
CUST-00401,User401,user401@example.com,2024-08-22,Europe,Paid Search
CUST-00402,User402,user402@example.com,2024-05-10,Europe,Social Media
CUST-00403,User403,user403@example.com,2025-08-28,Latin America,Organic Search
CUST-00404,User404,user404@example.com,2025-06-11,Asia Pacific,Organic Search
CUST-00405,User405,user405@example.com,2024-04-28,North America,Social Media
CUST-00406,User406,user406@example.com,2025-03-31,North America,Paid Search
CUST-00407,User407,user407@example.com,2025-02-13,Europe,Social Media
CUST-00408,User408,user408@example.com,2024-05-21,Latin America,Organic Search
CUST-00409,User409,user409@example.com,2024-09-23,North America,Organic Search
CUST-00410,User410,user410@example.com,2025-10-28,Asia Pacific,Social Media
CUST-00411,User411,user411@example.com,2025-07-30,North America,Organic Search
CUST-00412,User412,user412@example.com,2025-05-04,North America,Organic Search
